A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,Target
0.7193857862439584,0.6072211756219895,0.6898616145787637,0.423432978900535,0.4507661105902636,0.39247196998969147,0.5119071481312896,0.11275195899478829,0.9742970128609494,0.4948127703358901,0.9536147853752625,0.30696589322894885,0.7734234288342761,2,1,3.1736160984330626
0.7730626918578287,0.3444167406613884,0.9750001955783677,0.02810411818933778,0.524734930910849,0.7002522558479686,0.299089575129424,0.0609631835848542,0.6277969168740837,0.5166554708509066,0.017033143385941307,0.1436421732388028,0.6372318779175816,0,1,2.541412736498772
0.7305757520471523,0.20668103078786748,0.024024467078657907,0.1435435141685799,0.4786762607210756,0.20225661161720765,0.2698761034946797,0.017076978431587286,0.2394363436673198,0.8766286744953111,0.2673143572010005,0.9270753649179776,0.9081204207103822,1,0,1.754570842206018
0.687013330366941,0.5464587153478198,0.9047726651911301,0.6223211910354054,0.929681688129751,0.9446863451394214,0.6312680881253985,0.7548936994907549,0.20528460760370126,0.4685255870194951,0.47527281075862116,0.39945282036317,0.6324628699434666,2,0,3.413035048080612
0.01708899549345466,0.705662222130995,0.7477516503941006,0.6317684875620235,0.7221593860363649,0.5807382404873948,0.4859141689021629,0.20720620963879588,0.4748153197502716,0.6398344108789303,0.4501403140058552,0.4229639020393815,0.30405971059775905,2,1,1.9140852363343437
0.15803329500599728,0.771954758078256,0.3474100344560893,0.5593617320085603,0.7906316199141703,0.8669800382259298,0.7179523726411856,0.2825936819588175,0.48410186685171996,0.04619986925300579,0.2943365030392143,0.1389520837045931,0.3214075315076561,1,0,1.9143334272729096
0.41807762311827346,0.7382764776152132,0.7382740897504564,0.7443820266227152,0.019862612206428487,0.20115912307062855,0.27595742930169875,0.18438664396526738,0.43819203733489853,0.010492079301753554,0.20356742896574076,0.11214594907534547,0.059930807585060086,1,1,2.432251334826394
0.08344909538962364,0.6803580386723626,0.5142655200470463,0.10534345505829901,0.738606057826859,0.9000048426844249,0.07972447623397838,0.8640894107758503,0.537859030675773,0.8939428723129895,0.3418849314792083,0.3813832162331734,0.09423660975018211,2,1,0.8513202489756609
0.24579097299429264,0.953151325260174,0.6438709077178192,0.8998696231650013,0.018145976559878152,0.6170166021917664,0.12541588772220713,0.10304066521727417,0.744194328590227,0.3706730360597872,0.10877514141692146,0.7181712699056185,0.8431883890929127,2,1,2.364779830045039
0.34335660366717136,0.5807309511366365,0.8227501056915243,0.2133447366608353,0.578997311833737,0.018121050069946465,0.40993904395929703,0.6287895995972113,0.3977260948748589,0.9651441004520613,0.7963931916332047,0.016452996204240455,0.45701671750845774,0,0,2.1410985896327928
0.49263402710747595,0.36616103037215275,0.16562771623456785,0.2993569778167685,0.982300795034188,0.34957303533887085,0.6353299281785991,0.4960420278135441,0.19108137374383227,0.44570703365539055,0.7486325795470956,0.7356108796716885,0.2518129119039856,0,0,2.3825086564627913
0.8195003221168476,0.03356140002411623,0.6493705278844726,0.5507525465493728,0.8725311759853893,0.37269795222082625,0.89207949517938,0.3604580563214942,0.32462368454424884,0.7866127564023958,0.5447638578953259,0.10928044948723625,0.6413548921340526,2,1,2.021926548332332
0.8408530294413058,0.2577188894986363,0.11470328043341782,0.7049519176559936,0.24791140711654525,0.24077876494366568,0.9965748900644354,0.3323821735016089,0.3879900698723795,0.32877304652175177,0.24723743900462858,0.2555551640383248,0.4408444734486613,1,0,1.8673639475865755
0.746357922699963,0.43576358216797706,0.47739804816121323,0.175873817905427,0.5721448043501265,0.7916934584237761,0.14480139568937467,0.12125493090251804,0.4218941091161472,0.572614353490371,0.6100822319651069,0.40577180676801683,0.9781395654310946,0,0,3.965803258251224
0.2403848164787451,0.4674783726260402,0.9354653338998253,0.06967828758967987,0.0877717529672789,0.847733096548148,0.5254344879714985,0.14882061433184268,0.20223607137842614,0.6784156794830718,0.9623553264128195,0.18582109289628412,0.9508435909819707,2,0,1.5636196105062037
